西幹北段,,,,
Seq,三碼,四碼,站名,里程數
林口線,,,,
Seq,三碼,四碼,站名,里程數
1,106,1015,桃園,0
2,,2105,桃園高中,2.2
3,,2106,寶山,4.5
4,,2107,南祥,8.25
5,,2102,五福,9.8
6,,2108,長興,11.7
7,,2109,海山,13.82
8,,2110,海湖,15.6
9,,2103,林口,18.4
10,,2104,電廠,
,,,,
台中港線,,,,
Seq,三碼,四碼,站名,里程數
1,129,1113,臺中港,0
2,,2302,臺中港貨,6
,,,,
樹調線,,,,
Seq,三碼,四碼,站名,里程數
1,103,1012,樹林,0
2,,4102,樹調,2.2
,,,,
其它號碼,,,,
Seq,三碼,四碼,站名,里程數
1,,2402,龍井煤場,
2,,2502,神岡,
3,,2802,南調,
4,,2902,高雄港,
5,,3102,前鎮,
6,,3202,花蓮港,
7,,3902,機廠,
8,,4202,東港支線,
9,,4302,東南支線,
